RowIndex,OldUniqueKey,OldCostCode,OldItemId,OldName,NewUniqueKey,NewCostCode,NewItemId,NewName
164,01-300-10-35|36880196,01-300-10-35,36880196,Mobilization,03-200-30-20|51482169,03-200-30-20,51482169,#8 Rebar - 20' Pc
165,01-300-10-10|38992470,01-300-10-10,38992470,Supervision,03-200-30-20|51482170,03-200-30-20,51482170,#9 Rebar - 20' Pc
166,01-300-10-20|38992490,01-300-10-20,38992490,Management,03-200-30-20|51482171,03-200-30-20,51482171,#11 Rebar - 20' Pc
167,01-300-10-30|38992513,01-300-10-30,38992513,Travel Labor,03-200-30-20|51482172,03-200-30-20,51482172,#10 Rebar - 20' Pc
168,01-300-10-70|45634630,01-300-10-70,45634630,Shop Time,03-300-20-30|51482300,03-300-20-30,51482300,Telehandler 8000 lb (In-House)
169,01-300-10-40|38992493,01-300-10-40,38992493,Shop Drawings,03-300-20-40|51482301,03-300-20-40,51482301,Telehandler 8000 lb (Rental)
170,01-300-10-40|38992504,01-300-10-40,38992504,Shop Drawings,03-300-20-30|51482302,03-300-20-30,51482302,Telehandler 8000 lb (In-House)
171,03-150-10-05|38935078,03-150-10-05,38935078,"Dumbbell Waterstop Type DB-2 PVC 6""X 3/8""X 50'",03-300-20-40|51482303,03-300-20-40,51482303,Scissor Lift Rental
172,03-150-10-05|38935079,03-150-10-05,38935079,Box Expand-Tite 100 (100' per carton),03-300-20-30|51482304,03-300-20-30,51482304,Topping spreader (attachment on the SRS4 machine)
173,03-150-10-05|38935080,03-150-10-05,38935080,Box Expand-Tite 200 (100' per carton),03-300-20-30|51482305,03-300-20-30,51482305,Tower Light
174,03-150-10-05|38935081,03-150-10-05,38935081,"Water Stop Type 3A Ribbed 4""x 3/16"" x 50'",03-300-20-30|51482306,03-300-20-30,51482306,Concrete Buggy
175,03-150-10-05|38935082,03-150-10-05,38935082,"Water Stop Type 3A Ribbed 4""x 3/16"" x 100'",03-300-20-30|51482307,03-300-20-30,51482307,Hydro 8' Rideon Trowler
176,03-150-10-05|38935083,03-150-10-05,38935083,"Water Stop Type 4B Ribbed - w/Center bulb - Tapered 6""x 3/16"" x 50'",03-300-20-30|51482308,03-300-20-30,51482308,Hydro 10' Rideon Trowler
177,03-150-10-10|38935167,03-150-10-10,38935167,Waterstop Labor,03-300-20-30|51482309,03-300-20-30,51482309,8' Rideon Trowler
178,03-150-10-35|38976056,03-150-10-35,38976056,Vapor Barrier 6 mil 20'x100',03-300-20-30|51482310,03-300-20-30,51482310,6' Rideon Trowler
179,03-150-10-45|38976057,03-150-10-45,38976057,"Viper Tape 4"" x 180'",03-300-20-30|51482339,03-300-20-30,51482339,Somero S-15R (boom screed) (8 hr minimum)
180,03-150-10-45|38976058,03-150-10-45,38976058,Vapor Barrier 15 mil Viper II Class A Roll (14'x140'),03-300-20-30|51482340,03-300-20-30,51482340,Somero SRS4 (boom screed) (8 hr minimum)
181,03-150-10-35|38976059,03-150-10-35,38976059,Vapor Barrier 10 mil 20'x100',03-300-20-30|51482341,03-300-20-30,51482341,Somero S-840 (8 hr minimum)
182,03-150-10-45|38976060,03-150-10-45,38976060,Vapor Barrier 20 mil 14'x105',03-300-20-30|51482342,03-300-20-30,51482342,Somero Power Rake (8 hr minimum)
183,03-150-10-85|38975489,03-150-10-85,38975489,"Standard Wall Construction 18"" x 12'",03-300-20-30|51482343,03-300-20-30,51482343,Somero 3D Profiler (with or without screed)
184,03-150-10-85|38975490,03-150-10-85,38975490,"Standard Wall Construction 30"" x 12'",03-300-20-50|51482344,03-300-20-50,51482344,Slab on Grade Subcontractor
185,03-150-10-85|38975491,03-150-10-85,38975491,"Standard Wall Construction 12"" x 12'",03-300-20-10|51482374,03-300-20-10,51482374,Labor Slab On Grade
186,03-150-10-85|38975492,03-150-10-85,38975492,"Standard Wall Construction 16"" x 12'",03-100-30-10|51482375,03-100-30-10,51482375,Labor Slab On Grade Forms
187,03-150-10-85|38975493,03-150-10-85,38975493,"Standard Wall Construction 20"" x 12'",03-200-30-10|51482376,03-200-30-10,51482376,Labor Slab on Grade Rebar
188,03-150-10-85|38975494,03-150-10-85,38975494,"Standard Wall Construction 24"" x 12'",03-300-20-70|51482377,03-300-20-70,51482377,Labor Non Contracted
189,03-150-10-85|38975495,03-150-10-85,38975495,"Standard Wall Construction 36"" x 12'",03-300-30-20|51482173,03-300-30-20,51482173,Site Concrete
